0x100113d8: ret;
0x1008b143: rep ret;
0x1005b4d9: stc; ret;
0x1013b0ee: clc; ret;
0x1013b1a7: aas; ret;
0x10035c44: lock ret;
0x1013ad5e: cdq; ret;
0x101591af: nop; ret;
0x100faa35: aaa; ret;
0x1002b31d: daa; ret;
0x100bb4c2: insb; ret;
0x100f410b: int1; ret;
0x10121f59: cwde; ret;
0x1015ae8e: sahf; ret;
0x1011dcb7: movsd; ret;
0x1013b11d: leave; ret;
0x1002b29e: cmpsb; ret;
0x10117675: xlatb; ret;
0x100fa9c5: cmpsd; ret;
0x10156c1f: popfd; ret;
0x1003d1dd: scasd; ret;
0x100fb562: lodsb; ret;
0x1009aee7: popad; ret;
0x1009aea4: movsb; ret;
0x1014e6ae: pushad; ret;
0x1005b4a1: pop ss; ret;
0x1015e7f9: pop ecx; ret;
0x1001e586: pop esi; ret;
0x100141e4: pop ebx; ret;
0x101091c6: pop ebp; ret;
0x1002dd84: dec eax; ret;
0x100cb72e: dec esp; ret;
0x100309ba: inc eax; ret;
0x100cb2ce: pop eax; ret;
0x1001b25b: dec ebp; ret;
0x1007b5d6: neg eax; ret;
0x10137e1c: pop edi; ret;
0x1010adf1: inc ecx; ret;
0x10121fa4: pop esp; ret;
0x10137ca8: inc esp; ret;
0x10150416: push es; ret;
0x100fcd73: dec ecx; ret;
0x10011e4c: sete al; ret;
0x10146954: inc esi; ret;
0x1008b1e8: dec esi; ret;
0x10158fd2: not eax; ret;
0x100faf46: push ss; ret;
0x100bb1f4: inc edx; ret;
0x100fb1e7: dec edi; ret;
0x10120431: push esi; ret;
0x100bfda7: int 0xE8; ret;
0x1004b360: push eax; ret;
0x101591ae: nop; nop; ret;
0x100bb515: push esp; ret;
0x10041157: setne al; ret;
0x1002b2f2: push edx; ret;
0x100f41c7: push ebp; ret;
0x1001d316: int 0x8B; ret;
0x1007d23b: push ecx; ret;
0x10153178: inc [eax]; ret;
0x10033245: or al, ch; ret;
0x10099551: add dh, dh; ret;
0x100ce7a8: and dh, dh; ret;
0x1014e08b: idiv [ebx]; ret;
0x100396c7: add al, ch; ret;
0x10097271: adc al, ch; ret;
0x10124a61: out dx, al; ret;
0x10129afa: mov ax, dx; ret;
0x100b45bb: sbb dh, dh; ret;
0x1014844e: add bl, ch; ret;
0x1010a76e: in eax, dx; ret;
0x1015dc67: adc cl, ch; ret;
0x10011c89: xor ax, ax; ret;
0x1013f93b: adc cl, ah; ret;
0x101305dc: xor al, al; ret;
0x1015e8d7: add cl, ch; ret;
0x101306f5: and dh, bh; ret;
0x1014c9ec: cmp dh, dh; ret;
0x100110e5: lgdt [eax]; ret;
0x10156b9d: or al, 0x8B; ret;
0x100c7ece: or al, 0x3B; ret;
0x10128e83: or al, 0x5F; ret;
0x10126fde: or al, 0x5E; ret;
0x101304d9: or eax, eax; ret;
0x1014c9c9: or eax, edx; ret;
0x10152c05: or al, 0x83; ret;
0x100645b0: fdivr [ebx]; ret;
0x10152ef7: or al, 0xE9; ret;
0x100bbbd7: or al, 0xE8; ret;
0x10135bfa: or eax, ecx; ret;
0x1005a02c: add al, 0x3B; ret;
0x1015598c: adc al, 0x8B; ret;
0x100b1730: adc al, 0x3B; ret;
0x100842e4: or [ebx], bh; ret;
0x10018392: and al, 0x3B; ret;
0x101554f8: xor eax, eax; ret;
0x101543b6: in eax, 0x5D; ret;
0x100f3898: sbb al, 0x3B; ret;
0x1001f43a: xor al, 0x5E; ret;
0x1006e1a4: add al, 0xF6; ret;
0x100e3b53: adc al, 0xF6; ret;
0x10017e13: sub al, 0x3B; ret;
0x10152f51: mov eax, ecx; ret;
0x1003b223: xor al, 0x3B; ret;
0x1005b7e5: ror [ebx], 1; ret;
0x101043e6: sub al, 0x5E; ret;
0x10140f35: add al, 0x5E; ret;
0x1012bac9: and al, 0x5E; ret;
0x10124aeb: sbb eax, eax; ret;
0x100932df: cmp al, 0x8B; ret;
0x1012b6ae: sbb al, 0x5E; ret;
0x100c479c: adc al, 0x83; ret;
0x100108d4: add al, 0x3A; ret;
0x100203e3: sbb al, 0xF6; ret;
0x1014e9f1: add al, 0xE9; ret;
0x1013ad5d: add al, 0x99; ret;
0x101367d6: add al, 0x8B; ret;
0x1006456a: adc al, 0x3A; ret;
0x101340cf: add al, 0x5B; ret;
0x100122b5: xor edx, edx; ret;
0x10129196: sub al, 0x5B; ret;
0x100f2e77: adc al, 0xE8; ret;
0x10032941: sub al, 0xF6; ret;
0x10124eaf: cmp al, 0x5E; ret;
0x1010ccc2: sal bh, 0xD8; ret;
0x1006e031: xor al, 0xF6; ret;
0x10158ad1: cmp al, 0x33; ret;
0x1006ec19: xor al, 0x8B; ret;
0x1012ee86: adc al, 0x5B; ret;
0x1006f1f5: xor esi, esi; ret;
0x1001baed: sbb al, 0x8B; ret;
0x100b42fa: cmp al, 0x3B; ret;
0x100e611e: sar [ebx], 1; ret;
0x10112077: sbb al, 0xE8; ret;
0x10156daf: mov ch, 0x8B; ret;
0x10152c50: add al, 0xC1; ret;
0x1004b148: adc al, 0x03; ret;
0x10151d69: add al, 0xD0; ret;
0x1005d997: sbb eax, ebp; ret;
0x100106c9: or al, [eax]; ret;
0x1015728c: add al, 0x50; ret;
0x1001088b: sub al, 0x3A; ret;
0x1012415c: add al, 0x83; ret;
0x1013b5f5: shr [edx], 1; ret;
0x1015820f: std; pop esi; ret;
0x1013fc4f: mov eax, edx; ret;
0x101364a6: adc al, 0x5E; ret;
0x100b80f7: sbb al, 0x3A; ret;
0x10133e4e: in eax, 0x8B; ret;
0x10155d54: and al, 0x8B; ret;
0x1014e0a5: add al, 0x03; ret;
0x10032877: sub al, 0x8B; ret;
0x10158ee2: or [ebx], dh; ret;
0x10045b14: add [eax], al; ret;
0x1013122a: add esp, 0x0C; ret;
0x1010a2ea: add esp, 0x10; ret;
0x10132802: add esp, 0x08; ret;
0x1012f357: add esp, 0x60; ret;
0x1004dc58: add [ebx], bh; ret;
0x1003706c: sub [ebx], bh; ret;
0x1009e263: adc [ebx], bh; ret;
0x1013be2d: adc [ebx], ch; ret;
0x10125999: add esp, 0x18; ret;
0x10010794: add esp, 0x20; ret;
0x1010edd7: add esp, 0x38; ret;
0x1002ab01: add esp, 0x14; ret;
0x10155d99: add esp, 0x30; ret;
0x10063fa0: sbb [ebx], bh; ret;
0x1005ad1d: add esp, 0x78; ret;
0x1006e009: add esp, 0x1C; ret;
0x1012cf5f: adc dl, [eax]; ret;
0x101304f9: add [ecx], al; ret;
0x101521b8: add esp, 0x04; ret;
0x10130c02: add esp, 0x44; ret;
0x10135136: add esp, 0x2C; ret;
0x1008b767: add [ebx], ch; ret;
0x1008e9e2: cmp [ebx], bh; ret;
0x101385d2: add esp, 0x28; ret;
0x10116442: add esp, 0x48; ret;
0x100b810b: add bh, [edx]; ret;
0x1013496d: add esp, 0x4C; ret;
0x101283fd: add esp, 0x24; ret;
0x10012965: add esp, 0x70; ret;
0x100fd641: sar [ebx], cl; ret;
0x10021f7f: and [ebx], bh; ret;
0x1004b35e: add esp, 0x50; ret;
0x10139155: add esp, 0x40; ret;
0x100904f5: add esp, 0x34; ret;
0x10159acd: add [ebx], al; ret;
0x10139ad1: add [edx], bh; ret;
0x10154fac: and [eax], dl; ret;
0x10129b6b: add bh, [ebx]; ret;
0x10012ca0: add esp, 0x68; ret;
0x1007a198: or edi, [ebx]; ret;
0x10158f7a: add [ebx], dh; ret;
0x10023686: and eax, 0x40; ret;
0x10119012: xor [ebx], bh; ret;
0x1006a5a0: cli; push esi; ret;
0x100cb4d4: xchg eax, edx; ret;
0x1014c4db: adc [edx], dh; ret;
0x100e384c: or [ebx], edi; ret;
0x101591ad: nop; nop; nop; ret;
0x10060134: adc [edx], bh; ret;
0x101142e7: sbb [ebx], al; ret;
0x10152ea1: mov al, [ecx]; ret;
0x10144265: xchg eax, esp; ret;
0x10125f85: xchg eax, edi; ret;
0x1013b5a2: sbb [ebx], ch; ret;
0x100f38b0: sub bh, [ebx]; ret;
0x1005bf79: sub [ebx], cl; ret;
0x1004560e: sar [edx], cl; ret;
0x10040b60: std; push esi; ret;
0x1014426e: xchg eax, ebp; ret;
0x1002c707: adc al, [eax]; ret;
0x100958b3: adc bh, [ebx]; ret;
0x100bb4c1: inc ecx; insb; ret;
0x100baecb: xchg eax, ecx; ret;
0x1008419d: stc; push esi; ret;
0x10152eed: mov [eax], dl; ret;
0x1013acb7: and eax, 0x20; ret;
0x1012f1db: les ecx, [eax]; ret;
0x10131269: les edx, [eax]; ret;
0x1013bee5: les edi, [eax]; ret;
0x10156c8a: les esi, [eax]; ret;
0x1008b915: les ebx, [eax]; ret;
0x1007871e: add [ebx], edi; ret;
0x10010773: les esp, [eax]; ret;
0x101401cf: mov [ecx], edx; ret;
0x1012804e: les ebp, [eax]; ret;
0x10011c7f: mov ax, 0x23A6; ret;
0x1014dc4c: mov eax, [eax]; ret;
0x10011c75: mov ax, 0x23A4; ret;
0x10147bab: inc [eax+0x3B]; ret;
0x10011c7a: mov ax, 0x23A5; ret;
0x1012d24e: mov [edx], eax; ret;
0x10135345: add [eax], eax; ret;
0x1013f94e: adc edx, [eax]; ret;
0x101334d1: div [ecx-0x75]; ret;
0x10011c70: mov ax, 0x23A0; ret;
0x100110e6: add [eax], edx; ret;
0x10107b44: adc [ebx], edi; ret;
0x1013dce8: add eax, [ebx]; ret;
0x1005bc8e: lds ecx, [ebx]; ret;
0x10133403: div [edi-0x75]; ret;
0x100260f0: inc [ecx+0x18]; ret;
0x10011c6b: mov ax, 0x23A1; ret;
0x1008b141: adc al, ch; rep ret;
0x1011daad: sub edi, [ebx]; ret;
0x1013d6fd: add edi, [ebx]; ret;
0x10027214: push ecx; insb; ret;
0x10011c84: mov ax, 0x23A3; ret;
0x1012db8d: push 0x595B5D40; ret;
0x10134a53: sldt word [eax]; ret;
0x1014c4cc: ror [ebx], 0x5B; ret;
0x10046c6e: push 0xE8101DD8; ret;
0x101540eb: shl [eax], 0x10; ret;
0x10085281: ror [eax], 0x3B; ret;
0x1011e7fe: push 0xF6000393; ret;
0x100122b4: sal [ebx], 0xD2; ret;
0x100463e9: push 0x8B101690; ret;
0x100892ed: ror [ebx], 0x59; ret;
0x10135385: push 0x3B101681; ret;
0x1010b3f3: ror [edi], 0x84; ret;
0x100115c0: push 0x5E000000; ret;
0x100fb59b: int 0xE8; xlatb; ret;
0x10109ed1: inc ecx; pushad; ret;
0x1009726e: push 0xE8101E60; ret;
0x10046a79: push 0x3B000009; ret;
0x10155497: pop esi; pop ecx; ret;
0x10153309: pop esi; pop ebx; ret;
0x101263c0: pop edi; pop esi; ret;
0x101320bb: pop ebp; pop ebx; ret;
0x10128f54: pop edi; pop ebp; ret;
0x100c1585: pop esi; neg eax; ret;
0x10129304: pop esi; pop ebp; ret;
0x10066833: neg eax; pop esi; ret;
0x1008994b: pop ebx; pop ecx; ret;
0x1014df0f: pop esi; pop edi; ret;
0x10109ec1: inc ecx; inc esp; ret;
0x100b37c3: neg eax; pop ebx; ret;
0x1015304d: pop ebx; pop esi; ret;
0x1007474d: fstp tword [ebx]; ret;
0x1012d597: pop ebp; pop esi; ret;
0x1015237c: pop edi; pop ebx; ret;
0x1001181c: pop esi; dec eax; ret;
0x10158fd1: pop ebx; not eax; ret;
0x10158090: pop ebx; sete al; ret;
0x10122a21: inc ecx; dec esp; ret;
